id,lang,timespan,keyword,topics,topic_name,count
fr_1920_gasoline_3,fr,1920,gasoline,"['championnat', 'mutuel', 'prix', 'franc', 'longueur', 'match', 'metre', 'course', 'Pari', 'club', 'mlle', 'Gagnant', 'place', 'coupe', 'finale']",race,493
fr_1920_gasoline_4,fr,1920,gasoline,"['faire', 'falloir', 'bien', 'pouvoir', 'vouloir', 'savoir', 'public', 'être', 'rien', 'voir', 'guerre', 'raison', 'radical', 'donner', 'point']",war,607
fr_1920_gasoline_5,fr,1920,gasoline,"['tonne', 'commerce', 'prix', 'production', 'million', 'agricole', 'port', 'taxe', 'travail', 'franc', 'chambre', 'chiffre', 'commercial', 'produit', 'colonie']",production,590
fr_1920_gasoline_6,fr,1920,gasoline,"['valeur', 'franc', 'fermete', 'marche', 'banque', 'gagne', 'part', 'bourse', 'groupe', 'ferme', 'avance', 'hausse', 'fonds', 'progre', 'reprise']",stock,1449
fr_1920_gasoline_7,fr,1920,gasoline,"['remb', 'Nord', 'amortissable', 'fonc', 'Credit', 'Generale', 'Tunis', 'serie', 'Petroles', 'foncier', 'sucrerie', 'oblig', 'Electricite', 'alsacien', 'Lyon']",stock,1309
fr_1920_gasoline_8,fr,1920,gasoline,"['gouvernement', 'allemand', 'commission', 'ministre', 'politique', 'conseil', 'president', 'question', 'traite', 'guerre', 'nation', 'paix', 'conference', 'parti', 'socialiste']",politics,945
fr_1920_gasoline_9,fr,1920,gasoline,"['jeune', 'homme', 'être', 'vieux', 'bien', 'femme', 'petit', 'voir', 'cœur', 'avoir', 'souvenir', 'venir', 'oeil', 'jamais', 'beau']",body,984
fr_1920_gasoline_10,fr,1920,gasoline,"['kilometre', 'avion', 'voiture', 'moteur', 'automobile', 'route', 'aviateur', 'pilote', 'vitesse', 'metre', 'record', 'depart', 'août', 'appareil', 'septembre']",airplanes,311
fr_1920_gasoline_11,fr,1920,gasoline,"['robe', 'collection', 'franc', 'noir', 'edition', 'volume', 'salle', 'cuisine', 'vente', 'manteau', 'bleu', 'blanc', 'dessin', 'meuble', 'exposition']",fashion,629
sp_1890_telephone_0,sp,1890,telephone,"['precio', 'pesetas', 'vender', 'clase', 'casa', 'Madrid', 'calle', 'pral', 'Telefono', 'barato', 'botella', 'correo', 'principal', 'venta', 'mueble']",sales,3562
sp_1890_telephone_1,sp,1890,telephone,"['hombre', 'pueblo', 'fuerza', 'calle', 'pasar', 'cosa', 'trabajo', 'obrero', 'mujer', 'vida', 'venir', 'plaza', 'tiempo', 'cuyo', 'haber']",workers,232
sp_1890_telephone_2,sp,1890,telephone,"['Jose', 'idem', 'medio', 'pesetas', 'Juan', 'Garcia', 'teatro', 'Antonio', 'Manuel', 'Francisco', 'Sres', 'Madrid', 'doña', 'Maria', 'Lopez']",random,0
sp_1890_telephone_3,sp,1890,telephone,"['ayer', 'general', 'ministro', 'gobierno', 'señor', 'noche', 'Cuba', 'jefe', 'noticia', 'comision', 'España', 'partido', 'orden', 'periodico', 'asunto']",politics,948
fr_1910_iron_0,fr,1910,iron,"['guerre', 'juillet', 'pont', 'soldat', 'front', 'belge', 'americain', 'paix', 'France', 'journee', 'region', 'lutte', 'victoire', 'militaire', 'ligne']",war,126
fr_1910_iron_1,fr,1910,iron,"['metre', 'maison', 'femme', 'train', 'coup', 'quai', 'gare', 'voiture', 'bois', 'mere', 'sortir', 'fille', 'automobile', 'police', 'bras']",travel,367
fr_1910_iron_2,fr,1910,iron,"['banque', 'valeur', 'marche', 'franc', 'ferme', 'centime', 'calme', 'hausse', 'Credit', 'action', 'gagne', 'dividende', 'obligation', 'Mines', 'russe']",stock,359
fr_1910_iron_3,fr,1910,iron,"['allemand', 'allie', 'troupe', 'Berlin', 'Russie', 'bulgare', 'puissance', 'août', 'gouvernement', 'novembre', 'italien', 'turquie', 'turc', 'septembre', 'Maroc']",international politics,375
fr_1910_iron_4,fr,1910,iron,"['greve', 'million', 'mars', 'budget', 'projet', 'commission', 'ouvrier', 'travail', 'franc', 'pays', 'gouvernement', 'commerce', 'droit', 'compagnie', 'congre']",strike,716
fr_1910_iron_5,fr,1910,iron,"['mlle', 'theâtre', 'representation', 'comedie', 'matinee', 'theâtr', 'acte', 'revue', 'siecle', 'scene', 'piece', 'spectacle', 'Jane', 'Française', 'artiste']",theatre,126
fr_1910_iron_6,fr,1910,iron,"['Breme', 'Marseille', 'août', 'Hambourg', 'Havre', 'billet', 'depart', 'classe', 'plata', 'Plata', 'juil', 'juillet', 'Cherbourg', 'avril', 'Sydney']",travel,330
fr_1910_iron_7,fr,1910,iron,"['temperature', 'petit', 'vieux', 'beau', 'bien', 'trop', 'poindre', 'prix', 'chose', 'cœur', 'roman', 'rien', 'oeil', 'jeune', 'siecle']",random,0
